streamer_id,platform,stream_date,duration_hours,avg_viewers,peak_viewers,followers_gained
1,youtube,2026-09-01,4.5,12000,18500,450
1,youtube,2026-09-03,3.8,11500,16200,380
1,twitch,2026-09-05,5.0,10200,15400,290
1,youtube,2026-09-08,4.2,13100,19800,520
1,twitch,2026-09-10,3.5,9800,14000,210
2,tiktok,2026-09-01,2.5,19000,28500,1650
2,tiktok,2026-09-03,2.0,17500,25000,1200
2,youtube,2026-09-06,3.2,8900,13200,340
2,tiktok,2026-09-09,2.8,21000,31000,1900
3,youtube,2026-09-02,6.5,25500,41000,1400
3,facebook,2026-09-04,5.0,22000,34000,1050
3,youtube,2026-09-07,6.0,26800,43500,1600
3,facebook,2026-09-11,5.5,23500,36000,1120
4,tiktok,2026-09-02,3.0,15200,22500,920
4,tiktok,2026-09-05,2.5,14800,21000,880
4,tiktok,2026-09-08,3.2,16400,24000,1100
5,youtube,2026-09-01,3.5,17200,26500,680
5,youtube,2026-09-04,4.0,18500,28000,750
5,youtube,2026-09-07,3.0,16900,25200,610
5,youtube,2026-09-10,4.2,19200,29500,830
6,youtube,2026-09-02,2.5,7800,11500,210
6,youtube,2026-09-05,3.0,8200,12100,250
6,youtube,2026-09-09,2.8,7900,11800,230
7,facebook,2026-09-01,4.5,12200,18000,460
7,facebook,2026-09-04,4.0,11800,17500,420
7,facebook,2026-09-08,5.0,13000,19200,510
8,tiktok,2026-09-03,2.2,7100,10200,240
8,tiktok,2026-09-06,2.0,6900,9800,210
8,tiktok,2026-09-10,2.5,7400,10800,270
9,youtube,2026-09-01,4.5,29500,48000,2100
9,youtube,2026-09-04,4.0,28200,46000,1950
9,youtube,2026-09-07,5.0,31000,52000,2400
10,twitch,2026-09-02,5.5,14200,23000,580
10,twitch,2026-09-06,4.8,13800,22500,540
10,twitch,2026-09-09,5.2,14500,24000,610
